,0
365,2011-04-21 06:05:00-04:00
366,2011-04-21 06:06:00-04:00
367,2011-04-21 06:07:00-04:00
368,2011-04-21 06:08:00-04:00
369,2011-04-21 06:09:00-04:00
370,2011-04-21 06:10:00-04:00
371,2011-04-21 06:11:00-04:00
372,2011-04-21 06:12:00-04:00
373,2011-04-21 06:13:00-04:00
374,2011-04-21 06:14:00-04:00
375,2011-04-21 06:15:00-04:00
376,2011-04-21 06:16:00-04:00
377,2011-04-21 06:17:00-04:00
378,2011-04-21 06:18:00-04:00
379,2011-04-21 06:19:00-04:00
380,2011-04-21 06:20:00-04:00
381,2011-04-21 06:21:00-04:00
382,2011-04-21 06:22:00-04:00
383,2011-04-21 06:23:00-04:00
384,2011-04-21 06:24:00-04:00
385,2011-04-21 06:25:00-04:00
386,2011-04-21 06:26:00-04:00
387,2011-04-21 06:27:00-04:00
388,2011-04-21 06:28:00-04:00
389,2011-04-21 06:29:00-04:00
390,2011-04-21 06:30:00-04:00
391,2011-04-21 06:31:00-04:00
392,2011-04-21 06:32:00-04:00
393,2011-04-21 06:33:00-04:00
394,2011-04-21 06:34:00-04:00
395,2011-04-21 06:35:00-04:00
396,2011-04-21 06:36:00-04:00
397,2011-04-21 06:37:00-04:00
398,2011-04-21 06:38:00-04:00
399,2011-04-21 06:39:00-04:00
400,2011-04-21 06:40:00-04:00
401,2011-04-21 06:41:00-04:00
402,2011-04-21 06:42:00-04:00
403,2011-04-21 06:43:00-04:00
404,2011-04-21 06:44:00-04:00
405,2011-04-21 06:45:00-04:00
406,2011-04-21 06:46:00-04:00
407,2011-04-21 06:47:00-04:00
408,2011-04-21 06:48:00-04:00
409,2011-04-21 06:49:00-04:00
410,2011-04-21 06:50:00-04:00
411,2011-04-21 06:51:00-04:00
412,2011-04-21 06:52:00-04:00
413,2011-04-21 06:53:00-04:00
414,2011-04-21 06:54:00-04:00
415,2011-04-21 06:55:00-04:00
416,2011-04-21 06:56:00-04:00
417,2011-04-21 06:57:00-04:00
418,2011-04-21 06:58:00-04:00
419,2011-04-21 06:59:00-04:00
420,2011-04-21 07:00:00-04:00
421,2011-04-21 07:01:00-04:00
422,2011-04-21 07:02:00-04:00
423,2011-04-21 07:03:00-04:00
424,2011-04-21 07:04:00-04:00
425,2011-04-21 07:05:00-04:00
426,2011-04-21 07:06:00-04:00
427,2011-04-21 07:07:00-04:00
428,2011-04-21 07:08:00-04:00
429,2011-04-21 07:09:00-04:00
430,2011-04-21 07:10:00-04:00
431,2011-04-21 07:11:00-04:00
432,2011-04-21 07:12:00-04:00
433,2011-04-21 07:13:00-04:00
434,2011-04-21 07:14:00-04:00
435,2011-04-21 07:15:00-04:00
436,2011-04-21 07:16:00-04:00
437,2011-04-21 07:17:00-04:00
438,2011-04-21 07:18:00-04:00
439,2011-04-21 07:19:00-04:00
440,2011-04-21 07:20:00-04:00
441,2011-04-21 07:21:00-04:00
442,2011-04-21 07:22:00-04:00
443,2011-04-21 07:23:00-04:00
444,2011-04-21 07:24:00-04:00
445,2011-04-21 07:25:00-04:00
446,2011-04-21 07:26:00-04:00
447,2011-04-21 07:27:00-04:00
448,2011-04-21 07:28:00-04:00
449,2011-04-21 07:29:00-04:00
450,2011-04-21 07:30:00-04:00
451,2011-04-21 07:31:00-04:00
452,2011-04-21 07:32:00-04:00
453,2011-04-21 07:33:00-04:00
454,2011-04-21 07:34:00-04:00
455,2011-04-21 07:35:00-04:00
456,2011-04-21 07:36:00-04:00
457,2011-04-21 07:37:00-04:00
458,2011-04-21 07:38:00-04:00
459,2011-04-21 07:39:00-04:00
460,2011-04-21 07:40:00-04:00
461,2011-04-21 07:41:00-04:00
462,2011-04-21 07:42:00-04:00
463,2011-04-21 07:43:00-04:00
464,2011-04-21 07:44:00-04:00
465,2011-04-21 07:45:00-04:00
466,2011-04-21 07:46:00-04:00
467,2011-04-21 07:47:00-04:00
468,2011-04-21 07:48:00-04:00
469,2011-04-21 07:49:00-04:00
470,2011-04-21 07:50:00-04:00
471,2011-04-21 07:51:00-04:00
472,2011-04-21 07:52:00-04:00
473,2011-04-21 07:53:00-04:00
474,2011-04-21 07:54:00-04:00
475,2011-04-21 07:55:00-04:00
476,2011-04-21 07:56:00-04:00
477,2011-04-21 07:57:00-04:00
478,2011-04-21 07:58:00-04:00
479,2011-04-21 07:59:00-04:00
480,2011-04-21 08:00:00-04:00
481,2011-04-21 08:01:00-04:00
482,2011-04-21 08:02:00-04:00
483,2011-04-21 08:03:00-04:00
484,2011-04-21 08:04:00-04:00
485,2011-04-21 08:05:00-04:00
486,2011-04-21 08:06:00-04:00
487,2011-04-21 08:07:00-04:00
488,2011-04-21 08:08:00-04:00
489,2011-04-21 08:09:00-04:00
490,2011-04-21 08:10:00-04:00
491,2011-04-21 08:11:00-04:00
492,2011-04-21 08:12:00-04:00
493,2011-04-21 08:13:00-04:00
494,2011-04-21 08:14:00-04:00
495,2011-04-21 08:15:00-04:00
496,2011-04-21 08:16:00-04:00
497,2011-04-21 08:17:00-04:00
498,2011-04-21 08:18:00-04:00
499,2011-04-21 08:19:00-04:00
500,2011-04-21 08:20:00-04:00
501,2011-04-21 08:21:00-04:00
502,2011-04-21 08:22:00-04:00
503,2011-04-21 08:23:00-04:00
504,2011-04-21 08:24:00-04:00
505,2011-04-21 08:25:00-04:00
506,2011-04-21 08:26:00-04:00
507,2011-04-21 08:27:00-04:00
508,2011-04-21 08:28:00-04:00
509,2011-04-21 08:29:00-04:00
510,2011-04-21 08:30:00-04:00
511,2011-04-21 08:31:00-04:00
512,2011-04-21 08:32:00-04:00
513,2011-04-21 08:33:00-04:00
514,2011-04-21 08:34:00-04:00
515,2011-04-21 08:35:00-04:00
516,2011-04-21 08:36:00-04:00
517,2011-04-21 08:37:00-04:00
518,2011-04-21 08:38:00-04:00
519,2011-04-21 08:39:00-04:00
520,2011-04-21 08:40:00-04:00
521,2011-04-21 08:41:00-04:00
522,2011-04-21 08:42:00-04:00
523,2011-04-21 08:43:00-04:00
524,2011-04-21 08:44:00-04:00
525,2011-04-21 08:45:00-04:00
526,2011-04-21 08:46:00-04:00
527,2011-04-21 08:47:00-04:00
528,2011-04-21 08:48:00-04:00
529,2011-04-21 08:49:00-04:00
530,2011-04-21 08:50:00-04:00
531,2011-04-21 08:51:00-04:00
532,2011-04-21 08:52:00-04:00
533,2011-04-21 08:53:00-04:00
534,2011-04-21 08:54:00-04:00
535,2011-04-21 08:55:00-04:00
536,2011-04-21 08:56:00-04:00
537,2011-04-21 08:57:00-04:00
538,2011-04-21 08:58:00-04:00
539,2011-04-21 08:59:00-04:00
540,2011-04-21 09:00:00-04:00
541,2011-04-21 09:01:00-04:00
542,2011-04-21 09:02:00-04:00
543,2011-04-21 09:03:00-04:00
544,2011-04-21 09:04:00-04:00
545,2011-04-21 09:05:00-04:00
546,2011-04-21 09:06:00-04:00
547,2011-04-21 09:07:00-04:00
548,2011-04-21 09:08:00-04:00
549,2011-04-21 09:09:00-04:00
550,2011-04-21 09:10:00-04:00
551,2011-04-21 09:11:00-04:00
552,2011-04-21 09:12:00-04:00
553,2011-04-21 09:13:00-04:00
554,2011-04-21 09:14:00-04:00
555,2011-04-21 09:15:00-04:00
556,2011-04-21 09:16:00-04:00
557,2011-04-21 09:17:00-04:00
558,2011-04-21 09:18:00-04:00
559,2011-04-21 09:19:00-04:00
560,2011-04-21 09:20:00-04:00
561,2011-04-21 09:21:00-04:00
562,2011-04-21 09:22:00-04:00
563,2011-04-21 09:23:00-04:00
564,2011-04-21 09:24:00-04:00
565,2011-04-21 09:25:00-04:00
566,2011-04-21 09:26:00-04:00
567,2011-04-21 09:27:00-04:00
568,2011-04-21 09:28:00-04:00
569,2011-04-21 09:29:00-04:00
570,2011-04-21 09:30:00-04:00
571,2011-04-21 09:31:00-04:00
572,2011-04-21 09:32:00-04:00
573,2011-04-21 09:33:00-04:00
574,2011-04-21 09:34:00-04:00
575,2011-04-21 09:35:00-04:00
576,2011-04-21 09:36:00-04:00
577,2011-04-21 09:37:00-04:00
578,2011-04-21 09:38:00-04:00
579,2011-04-21 09:39:00-04:00
580,2011-04-21 09:40:00-04:00
581,2011-04-21 09:41:00-04:00
582,2011-04-21 09:42:00-04:00
583,2011-04-21 09:43:00-04:00
584,2011-04-21 09:44:00-04:00
585,2011-04-21 09:45:00-04:00
586,2011-04-21 09:46:00-04:00
587,2011-04-21 09:47:00-04:00
588,2011-04-21 09:48:00-04:00
589,2011-04-21 09:49:00-04:00
590,2011-04-21 09:50:00-04:00
591,2011-04-21 09:51:00-04:00
592,2011-04-21 09:52:00-04:00
593,2011-04-21 09:53:00-04:00
594,2011-04-21 09:54:00-04:00
595,2011-04-21 09:55:00-04:00
596,2011-04-21 09:56:00-04:00
597,2011-04-21 09:57:00-04:00
598,2011-04-21 09:58:00-04:00
599,2011-04-21 09:59:00-04:00
600,2011-04-21 10:00:00-04:00
601,2011-04-21 10:01:00-04:00
602,2011-04-21 10:02:00-04:00
603,2011-04-21 10:03:00-04:00
604,2011-04-21 10:04:00-04:00
605,2011-04-21 10:05:00-04:00
606,2011-04-21 10:06:00-04:00
607,2011-04-21 10:07:00-04:00
608,2011-04-21 10:08:00-04:00
609,2011-04-21 10:09:00-04:00
610,2011-04-21 10:10:00-04:00
611,2011-04-21 10:11:00-04:00
612,2011-04-21 10:12:00-04:00
613,2011-04-21 10:13:00-04:00
614,2011-04-21 10:14:00-04:00
615,2011-04-21 10:15:00-04:00
616,2011-04-21 10:16:00-04:00
617,2011-04-21 10:17:00-04:00
618,2011-04-21 10:18:00-04:00
619,2011-04-21 10:19:00-04:00
620,2011-04-21 10:20:00-04:00
621,2011-04-21 10:21:00-04:00
622,2011-04-21 10:22:00-04:00
623,2011-04-21 10:23:00-04:00
624,2011-04-21 10:24:00-04:00
625,2011-04-21 10:25:00-04:00
626,2011-04-21 10:26:00-04:00
627,2011-04-21 10:27:00-04:00
628,2011-04-21 10:28:00-04:00
629,2011-04-21 10:29:00-04:00
630,2011-04-21 10:30:00-04:00
631,2011-04-21 10:31:00-04:00
632,2011-04-21 10:32:00-04:00
633,2011-04-21 10:33:00-04:00
634,2011-04-21 10:34:00-04:00
635,2011-04-21 10:35:00-04:00
636,2011-04-21 10:36:00-04:00
637,2011-04-21 10:37:00-04:00
638,2011-04-21 10:38:00-04:00
639,2011-04-21 10:39:00-04:00
640,2011-04-21 10:40:00-04:00
641,2011-04-21 10:41:00-04:00
642,2011-04-21 10:42:00-04:00
643,2011-04-21 10:43:00-04:00
644,2011-04-21 10:44:00-04:00
645,2011-04-21 10:45:00-04:00
646,2011-04-21 10:46:00-04:00
647,2011-04-21 10:47:00-04:00
648,2011-04-21 10:48:00-04:00
649,2011-04-21 10:49:00-04:00
650,2011-04-21 10:50:00-04:00
651,2011-04-21 10:51:00-04:00
652,2011-04-21 10:52:00-04:00
653,2011-04-21 10:53:00-04:00
654,2011-04-21 10:54:00-04:00
655,2011-04-21 10:55:00-04:00
656,2011-04-21 10:56:00-04:00
657,2011-04-21 10:57:00-04:00
658,2011-04-21 10:58:00-04:00
659,2011-04-21 10:59:00-04:00
660,2011-04-21 11:00:00-04:00
661,2011-04-21 11:01:00-04:00
662,2011-04-21 11:02:00-04:00
663,2011-04-21 11:03:00-04:00
664,2011-04-21 11:04:00-04:00
665,2011-04-21 11:05:00-04:00
666,2011-04-21 11:06:00-04:00
667,2011-04-21 11:07:00-04:00
668,2011-04-21 11:08:00-04:00
669,2011-04-21 11:09:00-04:00
670,2011-04-21 11:10:00-04:00
671,2011-04-21 11:11:00-04:00
672,2011-04-21 11:12:00-04:00
673,2011-04-21 11:13:00-04:00
674,2011-04-21 11:14:00-04:00
675,2011-04-21 11:15:00-04:00
676,2011-04-21 11:16:00-04:00
677,2011-04-21 11:17:00-04:00
678,2011-04-21 11:18:00-04:00
679,2011-04-21 11:19:00-04:00
680,2011-04-21 11:20:00-04:00
681,2011-04-21 11:21:00-04:00
682,2011-04-21 11:22:00-04:00
683,2011-04-21 11:23:00-04:00
684,2011-04-21 11:24:00-04:00
685,2011-04-21 11:25:00-04:00
686,2011-04-21 11:26:00-04:00
687,2011-04-21 11:27:00-04:00
688,2011-04-21 11:28:00-04:00
689,2011-04-21 11:29:00-04:00
690,2011-04-21 11:30:00-04:00
691,2011-04-21 11:31:00-04:00
692,2011-04-21 11:32:00-04:00
693,2011-04-21 11:33:00-04:00
694,2011-04-21 11:34:00-04:00
695,2011-04-21 11:35:00-04:00
696,2011-04-21 11:36:00-04:00
697,2011-04-21 11:37:00-04:00
698,2011-04-21 11:38:00-04:00
699,2011-04-21 11:39:00-04:00
700,2011-04-21 11:40:00-04:00
701,2011-04-21 11:41:00-04:00
702,2011-04-21 11:42:00-04:00
703,2011-04-21 11:43:00-04:00
704,2011-04-21 11:44:00-04:00
705,2011-04-21 11:45:00-04:00
706,2011-04-21 11:46:00-04:00
707,2011-04-21 11:47:00-04:00
708,2011-04-21 11:48:00-04:00
709,2011-04-21 11:49:00-04:00
710,2011-04-21 11:50:00-04:00
711,2011-04-21 11:51:00-04:00
712,2011-04-21 11:52:00-04:00
713,2011-04-21 11:53:00-04:00
714,2011-04-21 11:54:00-04:00
715,2011-04-21 11:55:00-04:00
716,2011-04-21 11:56:00-04:00
717,2011-04-21 11:57:00-04:00
718,2011-04-21 11:58:00-04:00
719,2011-04-21 11:59:00-04:00
720,2011-04-21 12:00:00-04:00
721,2011-04-21 12:01:00-04:00
722,2011-04-21 12:02:00-04:00
723,2011-04-21 12:03:00-04:00
724,2011-04-21 12:04:00-04:00
725,2011-04-21 12:05:00-04:00
726,2011-04-21 12:06:00-04:00
727,2011-04-21 12:07:00-04:00
728,2011-04-21 12:08:00-04:00
729,2011-04-21 12:09:00-04:00
730,2011-04-21 12:10:00-04:00
731,2011-04-21 12:11:00-04:00
732,2011-04-21 12:12:00-04:00
733,2011-04-21 12:13:00-04:00
734,2011-04-21 12:14:00-04:00
735,2011-04-21 12:15:00-04:00
